444 633 363 336
633 822 552 525
363 552 282 255
336 525 255 228
822 741 822 714
552 741 471 444
525 714 444 417
282 471 282 174 
255 444 174 147
228 417 147 228
741 840 660 633
714 804 633 606
471 660 480 363
417 606 336 408
174 363 084 066
147 336 066 048
660 840 480 552
606 804 525 408
066 255 084 048
840 840 660 732
804 804 723 606
480 660 480 372
408 606 327 408
084 273 084 066
048 237 066 048
732 822 651 624
723 822 642 615
372 561 282 264
327 516 246 228
273 462 282 165
237 426 156 228
651 840 570 543
624 813 543 516
642 831 561 534
615 804 534 507
561 750 480 453
264 453 183 156
516 705 435 408
246 435 165 138
462 651 381 354
165 354 084 057
426 615 345 318
156 345 075 048
570 750 480 462
543 732 462 435
813 813 732 705
831 831 750 723
534 723 453 426
507 705 426 408
750 840 570 642
453 642 372 345
183 372 183 075
705 804 624 507
435 624 354 327
138 327 057 138
381 570 381 273
354 543 273 246
057 246 075 048
345 534 264 237
318 507 237 318
075 264 084 057 
